type,regressor,preprocess_params,interaction_degree_mean,interaction_degree_std,reduction_factors_mean,reduction_factors_std,test_param_mean,test_param_std,training_size_mean,training_size_std,RNez_MAE_mean,RNez_MAE_std,RNez_MAE_bs_ci_low,RNez_MAE_bs_ci_up,RNez_RMSE_mean,RNez_RMSE_std,RNez_RMSE_bs_ci_low,RNez_RMSE_bs_ci_up,RNez_time_err_mean,RNez_time_err_std,RNez_relative_err_mean,RNez_relative_err_std,RNez_max_error_mean,RNez_max_error_std,RMax_MAE_mean,RMax_MAE_std,RMax_MAE_bs_ci_low,RMax_MAE_bs_ci_up,RMax_RMSE_mean,RMax_RMSE_std,RMax_RMSE_bs_ci_low,RMax_RMSE_bs_ci_up,RMax_time_err_mean,RMax_time_err_std,RMax_relative_err_mean,RMax_relative_err_std,RMax_max_error_mean,RMax_max_error_std,MAE_mean,MAE_std,MAE_bs_ci_low,MAE_bs_ci_up,RMSE_mean,RMSE_std,RMSE_bs_ci_low,RMSE_bs_ci_up,pred_time_mean,pred_time_std,eval_reps_mean,eval_reps_std,fit_time_mean,fit_time_std
Test_Data,Lasso,"(True, False, False, False)",4.0,0.0,-1.0,0.0,50.0,0.0,50.0,0.0,0.7261890683925715,0.15339565990633375,0.6840285019312033,0.7643122200415516,1.0512482864575157,0.210319065800243,0.9939365251233534,1.1016820206019604,0.9191403135984899,0.19716276201523464,0.12697991309719486,0.02904872404084586,4.556087441697161,1.1523974856560957,2.963936486774045,0.5603742026212306,2.8024367345930337,3.115587371943387,4.315064398210383,0.9672291869543439,4.055558490965452,4.598166489461995,3.7506934403431176,0.7161090490248159,0.18818543320839012,0.03594703124056559,21.468357702689318,9.686804120779374,1.8450627775833077,0.2930435343848068,1.7723229448880966,1.923524064933778,3.1480867568738966,0.66400698615459,2.961996164200085,3.3524524542215053,0.022672548294067382,0.006478628537215708,10.0,0.0,0.03420705318450928,0.006873441582368608
Test_Data,Lasso,"(True, False, False, False)",4.0,0.0,-1.0,0.0,100.0,0.0,100.0,0.0,0.593681358689403,0.09445013715997426,0.5675009331240862,0.6219731138942362,0.8890838522557242,0.13337722728897405,0.8546506968351505,0.9161579126992282,0.7512092524928775,0.12020132529976492,0.10467499324755362,0.01980536474600815,4.2697504428920485,1.0704660510944397,1.572561380468644,0.2147247358071865,1.514474228300448,1.6244002870144862,2.2561745624491563,0.3778956223039501,2.1540621633651416,2.359671069049271,1.9897422527999185,0.27392434971564183,0.11117347727245278,0.015288521515368338,10.400581687146222,3.4001237445102435,1.0831213695790236,0.12395745498260151,1.047807762868582,1.1121910990120703,1.7182807690041266,0.2606886922067584,1.6538952673831682,1.790893950352143,0.023755192756652832,0.006906706393576997,10.0,0.0,0.04703241348266601,0.010946656153032672
Test_Data,Lasso,"(True, False, False, False)",4.0,0.0,-1.0,0.0,300.0,0.0,300.0,0.0,0.38631988406643186,0.03405939151946183,0.37475439066653865,0.39497917116747805,0.5904809885745529,0.0679875425627471,0.5711215602715972,0.6100464060619242,0.48877433192279796,0.043347150757851845,0.06620866050098068,0.005782622307574534,2.9454515739745166,0.6389447514587495,0.9402400320009034,0.07741283202278887,0.9175730374372458,0.9597729608461458,1.3029144071406995,0.14222251461619714,1.2665462522234063,1.3423091609150148,1.1897987891608337,0.10071806491046394,0.07076886454435191,0.00652035116062285,6.215944013808568,2.103671880623924,0.6632799580336678,0.047935122199142664,0.6492684489397359,0.6762523291656372,1.0125425953590728,0.10132110500259243,0.983900262429471,1.0416151777467482,0.024326963424682616,0.007705712622704698,10.0,0.0,0.11177134990692139,0.020290052474745215
Test_Data,Lasso,"(True, False, False, False)",4.0,0.0,-1.0,0.0,500.0,0.0,500.0,0.0,0.3522766824942242,0.025274209765496308,0.34594312954202605,0.35754370201827756,0.5414627631601219,0.0566626575165631,0.5261334862158117,0.5539716198668315,0.44574363927513266,0.03286275671680321,0.05957684694380922,0.004096105678302447,2.8185007447647457,0.6274577618015604,0.8629564198648777,0.06091390229638483,0.8454723943978925,0.87802138186084,1.1601675134216884,0.10891050227065462,1.1357639464715763,1.191582747681529,1.0918928880877716,0.07852311180111102,0.06633528590889898,0.005795717089875666,5.126897325317509,2.0252207425647026,0.6076165511795509,0.0378218322060845,0.6062543145199533,0.613316215164808,0.9061801018376882,0.07698575382187657,0.8904885757959762,0.924310114714365,0.027387776374816895,0.010196585318307277,10.0,0.0,0.15736981391906738,0.035691855062208636
Test_Data,Lasso,"(True, False, False, False)",4.0,0.0,-1.0,0.0,700.0,0.0,700.0,0.0,0.34070668739911886,0.0261503605542529,0.33360997201675774,0.3470844810042723,0.518915025374979,0.0526933184144835,0.5073037089309622,0.5364293135467614,0.4310965166126357,0.03378666633861272,0.05704719358457469,0.003705175291451883,2.6295437077051607,0.5207192345669017,0.8339643716856061,0.05009102709963814,0.8182918367760301,0.8475173633045155,1.1135162752491008,0.094784241025441,1.091468735875632,1.1445771219610559,1.0551372144728615,0.06406211038097263,0.06463275198297967,0.0055137587630787995,4.878364317038375,1.8977875302704674,0.5873355295423626,0.03320042199949901,0.5791900551890996,0.5956053940422467,0.8694601180818815,0.06698663559933939,0.852957027844249,0.8895883739708925,0.028925490379333497,0.008629876558871385,10.0,0.0,0.1817467737197876,0.03263375107158947
Test_Data,Lasso,"(True, False, False, True)",4.0,0.0,-1.0,0.0,50.0,0.0,50.0,0.0,0.7614896420654904,0.14446912545062,0.726151585488675,0.8078301759417442,1.0483580155937509,0.1835985479469006,1.0032150713661463,1.0991633377574386,0.9637568561736302,0.18555033189590212,0.1340461834757536,0.03139241873363039,3.9996228666753693,0.8740343388501965,1.2813628536654076,0.20150144638796388,1.2236217440124115,1.3367262243424691,1.7261896224723754,0.28122147131087405,1.6508603094299097,1.8046937860607737,1.6207214315398268,0.2520315873163821,0.1004211461537227,0.018482830557130323,6.765464068740955,1.834207462843628,1.0214262478654488,0.12643722098244087,0.992520968577328,1.0524138224467239,1.435330706556074,0.18759314843407826,1.3860890209073415,1.486748789609413,0.06707777500152588,0.013708060057347145,10.0,0.0,0.10500441551208496,0.024286761757662215
Test_Data,Lasso,"(True, False, False, True)",4.0,0.0,-1.0,0.0,100.0,0.0,100.0,0.0,0.6007059777423772,0.09379516638491034,0.574881446308247,0.6258624267193635,0.856846905797056,0.14484332953160442,0.8167702895272587,0.8974745959365602,0.760125377193643,0.11961891974848064,0.10733358720304643,0.02131069156053544,3.735385579428312,1.1364287167772082,0.8253694467363668,0.1355876504494974,0.7900771185102781,0.8632397651097178,1.1322736758884488,0.20588912233341355,1.0717019622597435,1.1792029781130002,1.0442515850187015,0.17148254188639664,0.06561641619698551,0.011958170126803322,4.4835492256729745,1.1920953098214309,0.7130377122393721,0.08098727295886514,0.692925535371726,0.7343158479072271,1.0104126082857998,0.1363996631807796,0.9758149155746721,1.0438304583888391,0.06678307056427002,0.012647110947392506,10.0,0.0,0.13475343704223633,0.026063394768525056
Test_Data,Lasso,"(True, False, False, True)",4.0,0.0,-1.0,0.0,300.0,0.0,300.0,0.0,0.3460140940020303,0.03907153131497826,0.3351931237130253,0.3567883983330638,0.5224458948158514,0.07055675694840403,0.5043913442204926,0.5409857182603572,0.437885034787602,0.050482457895597556,0.06010122673489079,0.007089929770693117,2.653968894961859,0.6307482266774197,0.40853168451610755,0.02941254745807245,0.4012296538829595,0.4155902695127993,0.559644957706144,0.04783930905510354,0.5464221076189854,0.5719946978054168,0.516889531794641,0.03777224888037412,0.03295925928156064,0.0036041198384037104,2.337992455170773,0.4675440725688739,0.377272889259069,0.025209867513542355,0.3703211717608212,0.3847848394043992,0.5427752678265503,0.04553383637913341,0.5295075005523914,0.5541093346547785,0.0653031301498413,0.011820615394482535,10.0,0.0,0.28133296012878417,0.02969860012850666
Test_Data,Lasso,"(True, False, False, True)",4.0,0.0,-1.0,0.0,500.0,0.0,500.0,0.0,0.29121270501582963,0.027584298335293227,0.28619470234983674,0.2982121048302533,0.4505764056832561,0.05240084278978727,0.43682927171756325,0.46400201681311143,0.3685227863012727,0.035973060035372935,0.049788615373544204,0.00519547889311374,2.4676114481826157,0.6550340949939181,0.34746142168945676,0.022203339861274554,0.3441140435268471,0.35366098474142155,0.47421269593905824,0.03619725799145949,0.4626034712684884,0.4814964734194,0.43960557625553276,0.0283008084030176,0.02807031901703005,0.002918128908516281,1.971686068000682,0.39511938276570113,0.3193370633526432,0.01750339841141352,0.3177352157553175,0.3191529370143968,0.46370082046863326,0.03059648969979421,0.456779752162182,0.47228614990341317,0.06344523429870605,0.011570189781685279,10.0,0.0,0.35386415481567385,0.04114925762970083
Test_Data,Lasso,"(True, False, False, True)",4.0,0.0,-1.0,0.0,700.0,0.0,700.0,0.0,0.2747031180587781,0.019987440700422524,0.26997650000673923,0.27953318373286473,0.42471854656977853,0.045659874233134244,0.41352343643370804,0.43637450275425443,0.3476080273183979,0.026225885446828478,0.04688484549231694,0.0033258394599283807,2.3503427380573796,0.645387815916979,0.3289835010180315,0.020036341119856325,0.3231429532396629,0.3322203885692041,0.448021574909082,0.03023407567816179,0.4417764286347547,0.45650591738622676,0.41623176540270956,0.025635734517079938,0.026631360376950085,0.002510497234092535,1.8479693358560862,0.3603569844646161,0.30184330953840477,0.014045021356409523,0.29876679574779974,0.3053387145448267,0.43734866268119604,0.027667992120625647,0.4301073788894424,0.4451638250212586,0.06299376964569092,0.010530059796961772,10.0,0.0,0.4425086545944214,0.051378101130104874
