type,regressor,preprocess_params,interaction_degree_mean,interaction_degree_std,reduction_factors_mean,reduction_factors_std,test_param_mean,test_param_std,training_size_mean,training_size_std,RMax_MAE_mean,RMax_MAE_std,RMax_MAE_bs_ci_low,RMax_MAE_bs_ci_up,RMax_RMSE_mean,RMax_RMSE_std,RMax_RMSE_bs_ci_low,RMax_RMSE_bs_ci_up,RMax_time_err_mean,RMax_time_err_std,RMax_relative_err_mean,RMax_relative_err_std,RMax_max_error_mean,RMax_max_error_std,MAE_mean,MAE_std,MAE_bs_ci_low,MAE_bs_ci_up,RMSE_mean,RMSE_std,RMSE_bs_ci_low,RMSE_bs_ci_up,pred_time_mean,pred_time_std,eval_reps_mean,eval_reps_std,fit_time_mean,fit_time_std
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,5.0,0.0,0.0,0.0,700.0,0.0,1.5347818646673022,0.0663293344962498,1.5162159510395528,1.5562254935387683,1.91378014563897,0.08347443071255385,1.8922709971677218,1.9331566966268443,0.0025977534220891995,0.0001118336423168233,0.11829008303170015,0.009623055591253751,6.192547951781986,1.089929718435117,1.5347818646673022,0.0663293344962498,1.5221831237709624,1.54947683012352,1.91378014563897,0.08347443071255385,1.8931383485041138,1.9374920130186921,0.08470401763916016,0.014587881685798335,100.0,0.0,0.20174534797668456,0.02443404323359724
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,10.0,0.0,0.0,0.0,700.0,0.0,1.4532337212420978,0.0749722401681059,1.4336646450622519,1.474846213822912,1.8285384113722818,0.09357561159579114,1.8031971613856175,1.8536638168890658,0.00245985618703529,0.00012910386887642354,0.1079032051807089,0.010615271097479537,5.7875720747772865,0.9427883218386638,1.4532337212420978,0.0749722401681059,1.4339585151467733,1.471665513737013,1.8285384113722818,0.09357561159579114,1.8018564513148505,1.8564155796395612,0.08810736656188965,0.015412858986754183,100.0,0.0,0.2004322576522827,0.02207764477233264
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,25.0,0.0,0.0,0.0,700.0,0.0,0.4892710398457241,0.035928657605092576,0.4812487172357601,0.49832204726437873,0.6455957052487435,0.04817372368331856,0.6335876763426938,0.6596117534032354,0.0008281744421601053,6.125181063111279e-05,0.0433887888097802,0.004342677900289895,2.248520495311502,0.3663600829781548,0.4892710398457241,0.035928657605092576,0.48129906193281824,0.49815826639610716,0.6455957052487435,0.04817372368331856,0.6340038852616432,0.6573029023830428,0.09457621574401856,0.013765774615264183,100.0,0.0,0.1958899164199829,0.019995618618835663
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,50.0,0.0,0.0,0.0,700.0,0.0,0.2822884870166496,0.028421916627353692,0.27504757406538055,0.28912597488149905,0.3818819495558469,0.034529419018522384,0.37342314869422977,0.39024243954693455,0.00047784347605333373,4.845470796012774e-05,0.024099460427680176,0.0030325939445550293,1.4238336099011866,0.22026806243194605,0.2822884870166496,0.028421916627353692,0.2750328419452413,0.28965769020346205,0.3818819495558469,0.034529419018522384,0.37311746160395987,0.3912625598047099,0.16702733039855958,0.010490867342574506,100.0,0.0,0.19306347370147706,0.02539995741604417
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,75.0,0.0,0.0,0.0,700.0,0.0,0.2692459944020269,0.018538588302334836,0.2640545573206243,0.2722630470739862,0.3630460564837634,0.02572774395731224,0.3562672816783175,0.3694756302433818,0.0004557489794737803,3.1681922695202494e-05,0.022736659838712155,0.0022599040367631586,1.372560426272002,0.20514149393446282,0.2692459944020269,0.018538588302334836,0.26516354865756064,0.2731790103019173,0.3630460564837634,0.02572774395731224,0.3555495692393104,0.36832756766202274,0.180549259185791,0.011855460491370274,100.0,0.0,0.1879332208633423,0.02301424177632806
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,100.0,0.0,0.0,0.0,700.0,0.0,0.27209463248433485,0.018816051205482947,0.26829903083580153,0.2770723183553765,0.36743970542156246,0.02650568692985088,0.3598762199712902,0.3739059565279747,0.00046056507310877253,3.2054007803793725e-05,0.023026514949458683,0.0022885716062008856,1.3924993347499568,0.21718295388580858,0.27209463248433485,0.018816051205482947,0.2663665276886257,0.27857863554362117,0.36743970542156246,0.02650568692985088,0.3602768268472287,0.37454300094564985,0.19140509605407716,0.013613300846474352,100.0,0.0,0.18313346385955812,0.01698650770204853
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,125.0,0.0,0.0,0.0,700.0,0.0,0.2732115070186123,0.019163268247131247,0.2682168634056746,0.2771195881929781,0.36913200695832665,0.026751795424267012,0.36354661971594476,0.3757049882291048,0.000462455102074402,3.263167418705166e-05,0.023121043936429997,0.002307736804392422,1.4002633280554313,0.21788385375970068,0.2732115070186123,0.019163268247131247,0.26773616454775767,0.2780262157683814,0.36913200695832665,0.026751795424267012,0.36759213266457036,0.3736515345933898,0.20451558113098145,0.015753123093848208,100.0,0.0,0.1952231502532959,0.025147246486173194
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,150.0,0.0,0.0,0.0,700.0,0.0,0.2732660766160588,0.019206424947781728,0.2684125527163551,0.2797119120069415,0.3692142915956286,0.026712530242422802,0.36463974993791143,0.3723478136676705,0.0004625472550679579,3.2700897725615676e-05,0.02312250550844743,0.002304741883049123,1.4000618337054807,0.21657040410534595,0.2732660766160588,0.019206424947781728,0.26784927835585143,0.27975509842389223,0.3692142915956286,0.026712530242422802,0.36268982932380933,0.37809651242814774,0.22537746906280517,0.01778389297467811,100.0,0.0,0.18072628021240233,0.026591538193941024
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,175.0,0.0,0.0,0.0,700.0,0.0,0.2732445384911592,0.01923141183589524,0.26933154482132926,0.2775776752121491,0.3692402458015975,0.02673555100367003,0.36362388676291707,0.3758571156272265,0.0004625111056166685,3.274746064094877e-05,0.023124175666741256,0.002309926863969629,1.400923608069113,0.21688214529462524,0.2732445384911592,0.01923141183589524,0.26834218872939636,0.27584034546438374,0.3692402458015975,0.02673555100367003,0.36137478714009486,0.3749430204069347,0.24159318447113037,0.014217699733537006,100.0,0.0,0.18159005641937256,0.023791682081863833
Test_Data,Lasso,"(False, True, True, True)",4.0,0.0,200.0,0.0,0.0,0.0,700.0,0.0,0.2730900975942093,0.019219237421645465,0.26871368978082033,0.2790373329083203,0.36908959054244106,0.02676790027411074,0.36254352839610376,0.3770796316634408,0.000462249386706873,3.2723044276905654e-05,0.023110947314937777,0.002308883592185952,1.3997854620352543,0.2166778508962555,0.2730900975942093,0.019219237421645465,0.26857050278363576,0.27713368588444165,0.36908959054244106,0.02676790027411074,0.3691060825107538,0.3706469899891239,0.24323220252990724,0.018183137082824756,100.0,0.0,0.17306241989135743,0.015137063317420527
