,type,regressor,preprocess_params,interaction_degree_mean,interaction_degree_std,reduction_factors_mean,reduction_factors_std,test_param_mean,test_param_std,training_size_mean,training_size_std,RNez_MAE_mean,RNez_MAE_std,RNez_MAE_bs_ci_low,RNez_MAE_bs_ci_up,RNez_RMSE_mean,RNez_RMSE_std,RNez_RMSE_bs_ci_low,RNez_RMSE_bs_ci_up,RNez_time_err_mean,RNez_time_err_std,RNez_relative_err_mean,RNez_relative_err_std,RNez_max_error_mean,RNez_max_error_std,RMax_MAE_mean,RMax_MAE_std,RMax_MAE_bs_ci_low,RMax_MAE_bs_ci_up,RMax_RMSE_mean,RMax_RMSE_std,RMax_RMSE_bs_ci_low,RMax_RMSE_bs_ci_up,RMax_time_err_mean,RMax_time_err_std,RMax_relative_err_mean,RMax_relative_err_std,RMax_max_error_mean,RMax_max_error_std,MAE_mean,MAE_std,MAE_bs_ci_low,MAE_bs_ci_up,RMSE_mean,RMSE_std,RMSE_bs_ci_low,RMSE_bs_ci_up,pred_time_mean,pred_time_std,eval_reps_mean,eval_reps_std,fit_time_mean,fit_time_std
0,Test_Data,Ridge,"(False, True, True, True)",1.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.8776184381660809,0.0359475265646131,0.8704645879267167, 0.8872945309654916,1.1578266773804071,0.0579717725312323,1.142005328992493, 1.1717367685726163,0.0014821457182769,6.27912911679757e-05,0.1582078835342767,0.0060931092691322,4.511612543848868,0.6483567064361667,1.966253852983808,0.075649991285228,1.9445313515800393, 1.9856968565496431,2.4323248078751645,0.0898269493476223,2.4064520106704093, 2.4571751455805737,0.0033204575461755,0.000127348406498,0.1451681263965189,0.0089830459490571,7.327769967026779,0.6672032428007887,1.4219361455749444,0.0453301158299343,1.4104275732121385, 1.4343564602836245,1.9052412549042232,0.0642028123207554,1.8888129203432598, 1.9233592407279412,0.0998387813568115,0.0191710945248164,100.0,0.0,0.0031418943405151,0.0015044986222991
1,Test_Data,Ridge,"(False, True, True, True)",2.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.5149021750092999,0.0286216285842623,0.5079258345929083, 0.5216019090772923,0.7413012960190193,0.0534454549671078,0.7271485368712299, 0.755730088051937,0.0008695903573746,4.946329427773455e-05,0.0903034878333666,0.0040949508213031,3.650171795187626,0.8847364594470956,0.9798514510886988,0.0330953949413273,0.9697752208081272, 0.9863518557518776,1.251713653046152,0.0494133807381156,1.2424502582759314, 1.265851034432229,0.001654662306529,5.4733947736012464e-05,0.0849602603464319,0.00636397405065,4.69281934594388,0.66370231015311,0.7473768130489995,0.0241338933136334,0.7405019411976631, 0.7562843283329005,1.0291325065664745,0.0409042275744773,1.0183430617255758, 1.0391747684793144,0.1205609512329101,0.0231970157487212,100.0,0.0,0.0038550472259521,0.0017269400050218
2,Test_Data,Ridge,"(False, True, True, True)",3.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.3551328825911873,0.0171400671426952,0.353290995774698, 0.357978200174387,0.5295379914211468,0.0349258292542244,0.5223859064753299, 0.5379507420238447,0.0005997659324716,2.984680345498668e-05,0.0632630783145575,0.0035760358768297,3.072717904229505,0.4279747111488592,0.3793470929248234,0.0133496767521612,0.37610772732687836, 0.38243965336780256,0.5056426995466885,0.0230843358565417,0.49932273838660546, 0.5121308745102396,0.0006405903391427,2.1857125222829045e-05,0.0300425894183295,0.0021045953932349,2.0272178473121927,0.1474986859669211,0.3672399877580053,0.0118660458270696,0.36505907110977187, 0.3708762797859534,0.5180561617036228,0.0230161513147928,0.5116079088964073, 0.5230638398716947,0.1716053199768066,0.0243194145276452,100.0,0.0,0.009369306564331,0.007726442866923
3,Test_Data,Ridge,"(False, True, True, True)",4.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.2718928937085461,0.0123078247432396,0.2684140178600434, 0.2715664723722088,0.4269613720233118,0.0322742170801516,0.41853734804503023, 0.4353622479083616,0.0004591745970575,2.1277326896301183e-05,0.0475827257603346,0.002677521002557,3.005400640008397,0.6464984421967669,0.2688801454586438,0.0144671698332467,0.26465421213228124, 0.2729287266942862,0.3717199616131036,0.0244651403093932,0.3651195745715063, 0.37811740996910104,0.0004540775545124,2.464554904582054e-05,0.0210772723392842,0.001431757696412,1.8168129657210144,0.3118596162153064,0.270386519583595,0.0098402270624589,0.26946499033632926, 0.2725568739720531,0.4007243411093866,0.0216549089676335,0.3944395874321116, 0.40594802899941324,0.3117039775848388,0.0325826255547926,100.0,0.0,0.0196356678009033,0.0145608420111052
4,Test_Data,Ridge,"(False, True, True, True)",5.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.2369707762469435,0.0124720933455692,0.23333469726141473, 0.239352646011346,0.3824146117622188,0.0325453512405619,0.37429295317218475, 0.39020624368462736,0.000400189399515,2.1267451212690016e-05,0.0411856383719089,0.0023095984691214,2.8106909207627755,0.6030865012837472,0.2218692954138916,0.0119693812709983,0.21825802250714035, 0.22426471412498408,0.327877937093147,0.0234622219153234,0.3217342184975478, 0.33427287291522445,0.0003746795432595,2.0271868206419053e-05,0.0167326468254697,0.0009821104760011,1.7974454515977516,0.2244116713928649,0.2294200358304175,0.0084701839434287,0.22880827113598295, 0.23134382477075252,0.3567249008230337,0.0204171973453919,0.3513299313018272, 0.3612059601474254,0.5398288488388061,0.0262479814660212,100.0,0.0,0.0676943635940551,0.0492393270834514
5,Test_Data,Ridge,"(False, True, True, True)",6.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.235365043557874,0.0138867305384331,0.23254600702492356, 0.23783123337611461,0.3855724944517275,0.032338602461478,0.3758159298565584, 0.39568772842925953,0.0003974630458199,2.336925009344955e-05,0.041716985297519,0.0024392952401012,2.7355439504461394,0.5503272608915083,0.208729938837261,0.0107644332993847,0.20657536791014466, 0.21093652983201608,0.3126391924268359,0.0223631692298662,0.3053035162010662, 0.31734130337747585,0.0003524814479113,1.8086505132688894e-05,0.0150877987313099,0.0010036437660955,1.724392246340189,0.2334260461768313,0.2220474911975676,0.0088674308525735,0.22127290867495242, 0.22314273292701628,0.3515213134427209,0.0200754206281982,0.3471569305326931, 0.3555862833935082,1.0190495920181275,0.0530625505416344,100.0,0.0,0.1400760555267334,0.0344332151442215
6,Test_Data,Ridge,"(False, True, True, True)",7.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.2450991290946572,0.0169088166703325,0.24166290363064008, 0.24991515739939343,0.4065852698891784,0.0383034736757063,0.39675968741479734, 0.4170148254897912,0.0004139016364809,2.8452415446981204e-05,0.0430954484077965,0.0030194503399461,2.769062511064935,0.6743293189229645,0.2019148374388863,0.0128272162308055,0.19969083837557045, 0.20450988359637698,0.2994896526907412,0.0229010794788049,0.294247645091902, 0.30420865212375786,0.0003409723675144,2.159166239669243e-05,0.0146434437038381,0.001010038252486,1.6770616712173152,0.2961316979358825,0.2235069832667718,0.0118700492074598,0.22205757567722348, 0.22585076727017284,0.3575914865390031,0.0248882655686477,0.35146798316240463, 0.36445845577984504,1.983010516166687,0.0960203828742986,100.0,0.0,0.1937278699874877,0.0369303254959029
7,Test_Data,Ridge,"(False, True, True, True)",8.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.2570186256644441,0.0181030325088474,0.25213429522932873, 0.2621157149692602,0.4303816061537213,0.0477881238470976,0.4173177009309026, 0.4443698201725464,0.0004340427237884,3.068642586583272e-05,0.0450933669664083,0.0032242019314041,2.9649540893045567,1.0038588561698385,0.2251128623948723,0.0146195347094816,0.22221791125142154, 0.2288276834323026,0.3364552775960995,0.0283082367785028,0.333271454923018, 0.34023659623168123,0.0003801528930514,2.470995330192884e-05,0.0165136167819364,0.0012185693074306,1.9346709134528013,0.4294658711062128,0.2410657440296583,0.0127722406080012,0.237803971891196, 0.24323855682038492,0.3869593504617891,0.0317737758272866,0.37782248468319374, 0.3959960618490183,3.923780460357666,0.2759936997531752,100.0,0.0,0.324655966758728,0.0885288754186552
8,Test_Data,Ridge,"(False, True, True, True)",9.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.2689601123555542,0.020254240662175228,0.26391451422106754,0.2744541157085772,0.4556054082033249,0.054694976962291246,0.43866658253839264,0.46682333406516396,0.0004542179802008167,3.440737325911018e-05,0.04710579033162798,0.0035733464953812263,3.1216373144697487,1.1090398235208612,0.24615871313375018,0.014634844874804587,0.24217558360279867,0.2485839610991309,0.3745145478442469,0.03270819937037421,0.36408416815690614,0.3826567649217862,0.00041567050786590833,2.4307902717136257e-05,0.018339981739665497,0.0013552440991489413,2.1778045506765533,0.5772585406324137,0.2575594127446522,0.013823706290369832,0.25334468866201243,0.25948410474089106,0.41779084441822156,0.037247069782410644,0.4089114112058867,0.42724765504230805,7.119317545890808,0.44653160912111906,100.0,0.0,0.5146389150619507,0.13248390523726952
9,Test_Data,Ridge,"(False, True, True, True)",10.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.29032124832644085,0.024649743156555146,0.2833432183552325,0.29640885287629454,0.497976659656561,0.06715212194189625,0.4796440914900713,0.520329208355578,0.000490257546567917,4.135944561869361e-05,0.050795464947178195,0.004288027766277598,3.394122324710988,1.2625461043731678,0.2825565330741086,0.017999931977476215,0.2781659762453907,0.28743813338789925,0.44123232784061267,0.042150799238999434,0.43365917230828377,0.44746685927779495,0.00047712639050446944,2.9882012693012283e-05,0.020765781874677387,0.0015054295672615498,2.734154497162768,0.8474647547510673,0.28643889070027473,0.018113488078988153,0.2817460459609009,0.2912369441446858,0.47133555085372625,0.04798327253075525,0.46065848258820813,0.48293163823176044,12.066391859054566,0.3011566076074019,100.0,0.0,0.6835354089736938,0.11155660292015669
