type,regressor,preprocess_params,interaction_degree_mean,interaction_degree_std,reduction_factors_mean,reduction_factors_std,test_param_mean,test_param_std,training_size_mean,training_size_std,RNez_MAE_mean,RNez_MAE_std,RNez_MAE_bs_ci_low,RNez_MAE_bs_ci_up,RNez_RMSE_mean,RNez_RMSE_std,RNez_RMSE_bs_ci_low,RNez_RMSE_bs_ci_up,RNez_time_err_mean,RNez_time_err_std,RNez_relative_err_mean,RNez_relative_err_std,RNez_max_error_mean,RNez_max_error_std,RMax_MAE_mean,RMax_MAE_std,RMax_MAE_bs_ci_low,RMax_MAE_bs_ci_up,RMax_RMSE_mean,RMax_RMSE_std,RMax_RMSE_bs_ci_low,RMax_RMSE_bs_ci_up,RMax_time_err_mean,RMax_time_err_std,RMax_relative_err_mean,RMax_relative_err_std,RMax_max_error_mean,RMax_max_error_std,MAE_mean,MAE_std,MAE_bs_ci_low,MAE_bs_ci_up,RMSE_mean,RMSE_std,RMSE_bs_ci_low,RMSE_bs_ci_up,pred_time_mean,pred_time_std,eval_reps_mean,eval_reps_std,fit_time_mean,fit_time_std
Test_Data,MLP32,"(False, True, True, True)",1.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.30664741263017403,0.027366522670050086,0.30169635892098284,0.314801445429669,0.46643567657122226,0.04438859367901198,0.45265568777595316,0.47823912204263935,0.0005179133568829259,4.69920157186901e-05,0.05358404046544245,0.00497327769579627,2.8222387821889385,0.5565319543515342,0.3193565861626878,0.0237131769299576,0.3141989677143202,0.3251821794111158,0.41128735229165153,0.031541184834111044,0.4043053597555513,0.41931280136635957,0.0005393233633876861,4.031408398822178e-05,0.02281125359803895,0.0023688381000554486,1.4753882068621111,0.21037549119651072,0.3130019993964309,0.020812177977724763,0.3073480593006544,0.3189566404288827,0.4403525570160145,0.030343840028096807,0.43120256744843904,0.4480335793928972,0.2364182138442993,0.023949977813363627,100.0,0.0,5.101214475631714,0.4958247625657982
Test_Data,MLP128,"(False, True, True, True)",1.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.23896751676101363,0.021633391423950547,0.2337825777471485,0.24460117620560792,0.3910064699939481,0.037718921925059865,0.3820757249451363,0.40021228346836096,0.00040357338697138387,3.6780382283414075e-05,0.040463180384447524,0.0033779674000018983,2.65359578070827,0.4912855866416937,0.2649109550924805,0.025196192681036653,0.25866849396860525,0.2730153444302973,0.3518037881066153,0.02992380881957862,0.3441278138328808,0.36136392010148166,0.0004474148466497633,4.322067067527833e-05,0.018724732196196144,0.0021145452256715667,1.4249417795916546,0.19476851930741862,0.2519392359267471,0.020785038674506606,0.2467506701464639,0.2581375365973598,0.3723826260506189,0.028447166495071948,0.36408320074738204,0.37946638669920835,0.29207501888275145,0.00441459952888099,100.0,0.0,16.873420538902284,1.718168642495774
Test_Data,SVR_RBF,"(False, True, True, True)",1.0,0.0,-1.0,0.0,0.0,0.0,700.0,0.0,0.2921010429096506,0.02045654150006361,0.28848835819220714,0.297994800360206,0.49999757233931935,0.04682449553012057,0.48656689312304235,0.5126957926016579,0.0004932853292877599,3.4642632077352106e-05,0.04705417230147577,0.0024219624988967015,3.3351248943431027,0.5034351120970979,0.31745139688233975,0.014520238165404908,0.31376168767239476,0.32147466944081154,0.4630245231677773,0.02717791968896257,0.45560892028654615,0.46720256281415484,0.0005360724956854747,2.4155556785580005e-05,0.026502971408175223,0.0023082923358738582,2.095849114198975,0.24174040048878775,0.30477621989599507,0.013612833619355662,0.3047611444999979,0.3070348956423912,0.48248083443982737,0.029332014295182215,0.4748548452157036,0.4914635781958253,7.408150477409363,0.34624737972208475,100.0,0.0,4.5276220464706425,0.26001980672064395
